Resolution,CRF,QP,BITRATE(M),RATIO,mAP@50-NoSR,mAP@50-BICUBIC,mAP@50-FSRCNN,mAP@50-BASICVSR++,PSNR-NoSR,PSNR-BICUBIC,PSNR-FSRCNN,PSNR-BASICVSR++
1080p,0,,171.520313,1,100,,,,,,,
1080p,2,,73.323969,0.427494375,89.21,,,,51.58973223,,,
270p,0,,17.279301,0.1007420095,4.86,6.62,27.84,36.21,,40.40708227,39.90095494,39.28542702
270p,2,,8.885258,0.05180294884,2.67,2.91,17.15,30.03,,40.04277419,39.53567496,38.87626923
